Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00001 Position: X=-0.03218228, Y=-0.01819992, Z=0.1131229 
Frame 00002 Position: X=-0.07240233, Y=-0.04005814, Z=0.2428322 
Frame 00003 Position: X=-0.1116411, Y=-0.06076574, Z=0.3612652 
Frame 00004 Position: X=-0.1581502, Y=-0.08478928, Z=0.4947853 
Frame 00005 Position: X=-0.2056718, Y=-0.1089439, Z=0.6260681 
Frame 00006 Position: X=-0.2485222, Y=-0.1305017, Z=0.7415161 
Frame 00007 Position: X=-0.3024938, Y=-0.1574755, Z=0.8845768 
Frame 00008 Position: X=-0.3489311, Y=-0.1806126, Z=1.006725 
Frame 00009 Position: X=-0.3943644, Y=-0.203258, Z=1.12635 
Frame 00010 Position: X=-0.4421531, Y=-0.2271624, Z=1.253294 
Frame 00011 Position: X=-0.494544, Y=-0.2535739, Z=1.395157 
Frame 00012 Position: X=-0.5414996, Y=-0.2775459, Z=1.526254 
Frame 00013 Position: X=-0.5854466, Y=-0.3003778, Z=1.654157 
Frame 00014 Position: X=-0.6243747, Y=-0.3210778, Z=1.773704 
Frame 00015 Position: X=-0.6634369, Y=-0.3425312, Z=1.902634 
Frame 00016 Position: X=-0.692845, Y=-0.3593826, Z=2.008901 
Frame 00017 Position: X=-0.7242573, Y=-0.3785114, Z=2.137257 
Frame 00018 Position: X=-0.7454615, Y=-0.3926349, Z=2.239817 
Frame 00019 Position: X=-0.7650864, Y=-0.4077134, Z=2.361135 
Frame 00020 Position: X=-0.7764555, Y=-0.4192839, Z=2.46869 
Frame 00021 Position: X=-0.7807819, Y=-0.4283886, Z=2.571435 
Frame 00022 Position: X=-0.7774823, Y=-0.4349165, Z=2.670198 
Frame 00023 Position: X=-0.7658061, Y=-0.4385905, Z=2.764273 
Frame 00024 Position: X=-0.7449659, Y=-0.4391799, Z=2.851259 
Frame 00025 Position: X=-0.7124239, Y=-0.4367113, Z=2.931586 
Frame 00026 Position: X=-0.6695101, Y=-0.4314151, Z=3.003956 
Frame 00027 Position: X=-0.6165721, Y=-0.4234219, Z=3.070241 
Frame 00028 Position: X=-0.5560153, Y=-0.413168, Z=3.129637 
Frame 00029 Position: X=-0.4886514, Y=-0.400866, Z=3.183537 
Frame 00030 Position: X=-0.4144159, Y=-0.3865328, Z=3.2335 
Frame 00031 Position: X=-0.3331665, Y=-0.3701301, Z=3.280686 
Frame 00032 Position: X=-0.2579921, Y=-0.3544068, Z=3.319592 
Frame 00033 Position: X=-0.1675117, Y=-0.3348784, Z=3.362336 
Frame 00034 Position: X=-0.07245222, Y=-0.3137164, Z=3.404173 
Frame 00035 Position: X=0.01999491, Y=-0.2925344, Z=3.443243 
Frame 00036 Position: X=0.1077417, Y=-0.2718844, Z=3.47992 
Frame 00037 Position: X=0.2046914, Y=-0.2484326, Z=3.521119 
