Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00001 Rotation: X=-2.232274E-05, Y=0.004583818, Z=2.345325E-06, W=0.9999895 
Frame 00002 Rotation: X=-0.0001351327, Y=0.008601695, Z=1.44596E-05, W=0.999963 
Frame 00003 Rotation: X=-0.0003445218, Y=0.01252196, Z=3.757653E-05, W=0.9999216 
Frame 00004 Rotation: X=-0.0006745697, Y=0.01652589, Z=7.505458E-05, W=0.9998632 
Frame 00005 Rotation: X=-0.001127767, Y=0.02043799, Z=0.0001280036, W=0.9997905 
Frame 00006 Rotation: X=-0.001706352, Y=0.02422067, Z=0.0001974751, W=0.9997052 
Frame 00007 Rotation: X=-0.002444843, Y=0.02801752, Z=0.0002884575, W=0.9996044 
Frame 00008 Rotation: X=-0.00333477, Y=0.03170948, Z=0.0004008912, W=0.9994915 
Frame 00009 Rotation: X=-0.004407978, Y=0.03536533, Z=0.0005396532, W=0.9993646 
Frame 00010 Rotation: X=-0.005687731, Y=0.03899757, Z=0.0007087567, W=0.9992229 
Frame 00011 Rotation: X=-0.00726264, Y=0.04273174, Z=0.0009208877, W=0.9990598 
Frame 00012 Rotation: X=-0.009081182, Y=0.0463555, Z=0.001170395, W=0.9988831 
Frame 00013 Rotation: X=-0.01121517, Y=0.04994443, Z=0.001467647, W=0.998688 
Frame 00014 Rotation: X=-0.01361913, Y=0.05334546, Z=0.001804984, W=0.9984816 
Frame 00015 Rotation: X=-0.01639812, Y=0.05665042, Z=0.002195247, W=0.998257 
Frame 00016 Rotation: X=-0.01948322, Y=0.05972898, Z=0.002625858, W=0.9980211 
Frame 00017 Rotation: X=-0.02309848, Y=0.0627341, Z=0.003122922, W=0.9977581 
Frame 00018 Rotation: X=-0.02699798, Y=0.06542248, Z=0.003647532, W=0.9974857 
Frame 00019 Rotation: X=-0.03149682, Y=0.06795015, Z=0.004231881, W=0.9971824 
Frame 00020 Rotation: X=-0.03643327, Y=0.07017321, Z=0.004844705, W=0.9968575 
Frame 00021 Rotation: X=-0.04188878, Y=0.07208418, Z=0.005481627, W=0.9965035 
Frame 00022 Rotation: X=-0.04785247, Y=0.07362431, Z=0.006122572, W=0.9961185 
Frame 00023 Rotation: X=-0.05423753, Y=0.07473721, Z=0.006738189, W=0.9957044 
