tX,tY,tZ,rX,rY,rZ,rW,time(s)
1.833,9.09995,-2.3055,-0.5421835,-0.7685941,-0.1150215,0.3194844,0
1.832372,9.100684,-2.306401,0.0002033114,-0.3628447,7.915497E-05,0.9318497,0.0333334
1.831492,9.100958,-2.305487,-0.002973676,-0.4174684,-0.001366146,0.9086856,0.0666668
1.830315,9.101228,-2.305149,-0.004624337,-0.5790941,-0.003284827,0.815241,0.1000002
1.829002,9.100751,-2.304726,-0.004395068,-0.6944885,-0.00424245,0.7194779,0.1333336
1.828147,9.100496,-2.304974,-0.002753019,-0.7130921,-0.002800345,0.7010595,0.166667
1.827068,9.100243,-2.304946,-0.002600104,-0.7130927,-0.002644762,0.70106,0.2000004
1.825894,9.100371,-2.304892,-0.002600104,-0.7130927,-0.002644762,0.70106,0.2333338
1.825112,9.100515,-2.304605,-0.002600104,-0.7130927,-0.002644762,0.70106,0.2666672
1.824574,9.100325,-2.30463,-0.005368471,-0.7467591,-0.006028071,0.6650457,0.3000006
1.823652,9.099908,-2.304362,-0.02109677,-0.8348321,-0.03207095,0.5491646,0.333334
1.82225,9.100417,-2.30515,-0.02350706,-0.8767167,-0.04307033,0.4784977,0.3666674
1.821129,9.10043,-2.305367,-0.02037993,-0.8880371,-0.03954902,0.4576142,0.4000008
1.819945,9.100988,-2.305515,-0.02007195,-0.8881626,-0.03897218,0.4574336,0.4333342
1.818953,9.101081,-2.306567,-0.02007195,-0.8881626,-0.03897218,0.4574336,0.4666676
1.81795,9.10096,-2.307612,-0.02007195,-0.8881626,-0.03897218,0.4574336,0.500001
1.81691,9.101422,-2.308055,-0.02007195,-0.8881626,-0.03897218,0.4574336,0.5333344
1.81621,9.10105,-2.309077,-0.02193648,-0.8914315,-0.04340333,0.4505385,0.5666678
1.815028,9.100827,-2.309657,-0.02552462,-0.8980207,-0.05256587,0.4360553,0.6000012
1.814368,9.100541,-2.310186,-0.02752471,-0.9302979,-0.07137836,0.3587388,0.6333346
1.813364,9.100907,-2.310724,-0.02238709,-0.9567472,-0.07655796,0.2797724,0.6666679
1.812841,9.101241,-2.311219,-0.01860246,-0.9689147,-0.07689339,0.2344051,0.7000014
1.812765,9.101885,-2.312481,-0.0163379,-0.9724511,-0.07183895,0.2211587,0.7333348
1.812706,9.102253,-2.313441,-0.01628965,-0.9724668,-0.07162681,0.2211622,0.7666681
1.812693,9.102627,-2.314461,-0.01628965,-0.9724668,-0.07162681,0.2211622,0.8000016
1.812537,9.102735,-2.315704,-0.01628965,-0.9724668,-0.07162681,0.2211622,0.833335
1.812573,9.102572,-2.316186,-0.01628965,-0.9724668,-0.07162681,0.2211622,0.8666683
1.812522,9.10272,-2.31695,-0.01545429,-0.9734647,-0.06913844,0.217595,0.9000018
1.811988,9.102832,-2.317877,-0.01269269,-0.9763231,-0.0597145,0.2075238,0.9333352
1.811758,9.103438,-2.319179,-0.009205073,-0.9801309,-0.04686478,0.1925162,0.9666685
1.811585,9.103437,-2.3202,-0.005592018,-0.98437,-0.03179498,0.1731283,1.000002
1.811572,9.103375,-2.321084,-0.003822565,-0.9864758,-0.02324757,0.1622048,1.033335
1.81104,9.103445,-2.321703,-0.003842562,-0.9865767,-0.02346531,0.1615583,1.066669
1.810406,9.103502,-2.322161,-0.005082846,-0.9863335,-0.03099678,0.1617395,1.100002
1.810152,9.103272,-2.323128,-0.009987622,-0.9846026,-0.06000535,0.1638829,1.133336
1.80963,9.103462,-2.324005,-0.01591149,-0.9816678,-0.09495616,0.1644951,1.166669
1.808952,9.103206,-2.324577,-0.02009585,-0.9786674,-0.1175653,0.1672868,1.200002
1.80892,9.103471,-2.325902,-0.02085386,-0.9779841,-0.1207311,0.1689272,1.233336
1.808137,9.103298,-2.327212,-0.02085386,-0.9779841,-0.1207311,0.1689272,1.266669
1.807519,9.103901,-2.328207,-0.02085386,-0.9779841,-0.1207311,0.1689272,1.300003
1.807225,9.104357,-2.328807,-0.02085386,-0.9779841,-0.1207311,0.1689272,1.333336
1.806442,9.104863,-2.329459,-0.02085386,-0.9779841,-0.1207311,0.1689272,1.366669
1.805859,9.10515,-2.329903,-0.02085386,-0.9779841,-0.1207311,0.1689272,1.400003
1.805782,9.105242,-2.330887,-0.02121234,-0.9777082,-0.1226466,0.1690992,1.433336
1.805519,9.105786,-2.331882,-0.02255963,-0.9766694,-0.1300986,0.1693586,1.46667
1.805228,9.105931,-2.332672,-0.02499032,-0.9746895,-0.1439296,0.1692342,1.500003
1.805108,9.106638,-2.333714,-0.02735075,-0.972585,-0.1575244,0.1688688,1.533336
1.804959,9.106501,-2.33466,-0.0288977,-0.9711015,-0.1668658,0.1681747,1.56667
1.804989,9.106668,-2.335341,-0.02959457,-0.9704014,-0.1708897,0.1680535,1.600003
1.804762,9.106724,-2.336118,-0.02952126,-0.9704759,-0.1704663,0.1680664,1.633337
1.804181,9.106722,-2.337488,-0.02952126,-0.9704759,-0.1704663,0.1680664,1.66667
1.804305,9.106968,-2.338675,-0.02952126,-0.9704759,-0.1704663,0.1680664,1.700003
1.803899,9.107393,-2.33913,-0.0295573,-0.9704381,-0.1708962,0.1678418,1.733337
1.803295,9.107251,-2.340196,-0.03037412,-0.9696181,-0.1735884,0.1696616,1.76667
1.803467,9.107368,-2.341398,-0.03185424,-0.9681439,-0.1765963,0.1746329,1.800004
1.802648,9.107865,-2.342654,-0.03514194,-0.964838,-0.1810004,0.1873271,1.833337
1.802171,9.107954,-2.34388,-0.03966761,-0.9601724,-0.1864213,0.2043099,1.86667
1.801517,9.108309,-2.345147,-0.04503003,-0.954266,-0.1893825,0.2268984,1.900004
1.801211,9.108446,-2.345502,-0.05024853,-0.9481801,-0.192048,0.2480874,1.933337
1.800652,9.108936,-2.345829,-0.05241224,-0.9454893,-0.1925769,0.2573269,1.966671
1.799785,9.108883,-2.346948,-0.05242571,-0.9454046,-0.19213,0.2579686,2.000004
1.79912,9.108994,-2.348142,-0.05242571,-0.9454046,-0.19213,0.2579686,2.033337
1.799008,9.109027,-2.349254,-0.05242571,-0.9454046,-0.19213,0.2579686,2.066671
1.798688,9.109374,-2.350137,-0.05242571,-0.9454046,-0.19213,0.2579686,2.100004
1.798613,9.109315,-2.350929,-0.05457766,-0.9431949,-0.1959702,0.2626796,2.133337
1.798401,9.10955,-2.351438,-0.05790849,-0.9400353,-0.2034575,0.2675544,2.166671
1.798239,9.110114,-2.351816,-0.06025866,-0.9380326,-0.2103199,0.2687551,2.200004
